"Texte";"Commentaires"
"absence";"anglais ou français selon le contexte"
"action";"anglais ou français selon le contexte"
"adaptation";"anglais ou français selon le contexte"
"administration";"anglais ou français selon le contexte"
"admission";"anglais ou français selon le contexte"
"adolescent";"anglais ou français selon le contexte"
"affluence";"anglais ou français selon le contexte"
"affluent";"anglais ou français selon le contexte"
"agenda";"anglais ou français selon le contexte"
"agriculture";"anglais ou français selon le contexte"
"aimable";"noms propres ou communs selon le contexte"
"aimé";"noms propres ou communs selon le contexte"
"aimée";"noms propres ou communs selon le contexte"
"air";"anglais ou français selon le contexte"
"alla";"français ou italiens selon le contexte"
"alliance";"anglais ou français selon le contexte"
"alternative";"anglais ou français selon le contexte"
"ambition";"anglais ou français selon le contexte"
"amiable";"anglais ou français selon le contexte"
"ange";"noms propres ou communs selon le contexte"
"applicable";"anglais ou français selon le contexte"
"application";"anglais ou français selon le contexte"
"archives";"anglais ou français selon le contexte"
"arrangement";"anglais ou français selon le contexte"
"art";"anglais ou français selon le contexte"
"arts";"anglais ou français selon le contexte"
"asperger";"noms propres ou communs selon le contexte"
"assise";"français ou italiens selon le contexte"
"assistant";"anglais ou français selon le contexte"
"association";"anglais ou français selon le contexte"
"attitude";"anglais ou français selon le contexte"
"attraction";"anglais ou français selon le contexte"
"aurore";"noms propres ou communs selon le contexte"
"aviation";"anglais ou français selon le contexte"
"ballet";"anglais ou français selon le contexte"
"bar";"anglais ou français selon le contexte"
"barbe";"noms propres ou communs selon le contexte"
"ben";"noms propres ou communs selon le contexte (abréviation de Benjamin)"
"benjamin";"noms propres ou communs selon le contexte"
"bien";"français ou espagnols selon le contexte (muy bien)"
"billions";"anglais ou français selon le contexte"
"bin";"français ou allemands selon le contexte"
"bitte";"français ou allemands selon le contexte"
"black";"anglais ou français selon le contexte (s)"
"blair";"noms propres ou communs selon le contexte (Tony)"
"blanche";"noms propres ou communs selon le contexte"
"blue";"anglais ou français selon le contexte (jean)"
"blues";"anglais ou français selon le contexte"
"border";"anglais ou français selon le contexte"
"boulevard";"anglais ou français selon le contexte"
"brigade";"anglais ou français selon le contexte"
"browning";"noms propres ou communs selon le contexte (Robert)"
"brutal";"anglais ou français selon le contexte"
"budget";"anglais ou français selon le contexte"
"building";"anglais ou français selon le contexte"
"bulletin";"anglais ou français selon le contexte"
"bureau";"anglais ou français selon le contexte"
"cancer";"anglais ou français selon le contexte"
"candidate";"anglais ou français selon le contexte"
"candide";"noms propres ou communs selon le contexte"
"car";"anglais ou français selon le contexte"
"casting";"anglais ou français selon le contexte"
"castor";"noms propres ou communs selon le contexte"
"cause";"anglais ou français selon le contexte"
"caution";"anglais ou français selon le contexte"
"cent";"anglais ou français selon le contexte"
"central";"anglais ou français selon le contexte"
"centre";"anglais ou français selon le contexte"
"certain";"anglais ou français selon le contexte"
"cessation";"anglais ou français selon le contexte"
"chair";"anglais ou français selon le contexte"
"challenge";"anglais ou français selon le contexte"
"change";"anglais ou français selon le contexte"
"chaos";"anglais ou français selon le contexte"
"charge";"anglais ou français selon le contexte"
"charitable";"anglais ou français selon le contexte"
"christ";"anglais ou français selon le contexte"
"christian";"anglais ou français selon le contexte"
"cigarette";"anglais ou français selon le contexte"
"circuit";"anglais ou français selon le contexte"
"circulation";"anglais ou français selon le contexte"
"civil";"anglais ou français selon le contexte"
"claire";"noms propres ou communs selon le contexte"
"club";"anglais ou français selon le contexte"
"clémence";"noms propres ou communs selon le contexte"
"clément";"noms propres ou communs selon le contexte"
"clémentine";"noms propres ou communs selon le contexte"
"coalition";"anglais ou français selon le contexte"
"cognition";"anglais ou français selon le contexte"
"collaboration";"anglais ou français selon le contexte"
"collection";"anglais ou français selon le contexte"
"collective";"anglais ou français selon le contexte"
"combat";"anglais ou français selon le contexte"
"comment";"anglais ou français selon le contexte"
"commerce";"anglais ou français selon le contexte"
"commission";"anglais ou français selon le contexte"
"commode";"noms propres ou communs selon le contexte"
"communal";"anglais ou français selon le contexte"
"commune";"anglais ou français selon le contexte"
"communication";"anglais ou français selon le contexte"
"compose";"anglais ou français selon le contexte"
"composition";"anglais ou français selon le contexte"
"concentration";"anglais ou français selon le contexte"
"concept";"anglais ou français selon le contexte"
"conception";"anglais ou français selon le contexte"
"concert";"anglais ou français selon le contexte"
"concession";"anglais ou français selon le contexte"
"concise";"anglais ou français selon le contexte"
"conclusion";"anglais ou français selon le contexte"
"confidence";"anglais ou français selon le contexte"
"confine";"anglais ou français selon le contexte"
"confinement";"anglais ou français selon le contexte"
"conflagration";"anglais ou français selon le contexte"
"confusion";"anglais ou français selon le contexte"
"conscience";"anglais ou français selon le contexte"
"consensus";"anglais ou français selon le contexte"
"consent";"anglais ou français selon le contexte"
"consolation";"noms propres ou communs selon le contexte"
"constance";"noms propres ou communs selon le contexte"
"constant";"noms propres ou communs selon le contexte"
"constellation";"anglais ou français selon le contexte"
"constructive";"anglais ou français selon le contexte"
"consume";"anglais ou français selon le contexte (to)"
"consumer";"anglais ou français selon le contexte"
"contagion";"anglais ou français selon le contexte"
"content";"anglais ou français selon le contexte"
"continent";"anglais ou français selon le contexte"
"continental";"anglais ou français selon le contexte"
"continue";"anglais ou français selon le contexte (to)"
"contradiction";"anglais ou français selon le contexte"
"contribution";"anglais ou français selon le contexte"
"convention";"anglais ou français selon le contexte"
"conversation";"anglais ou français selon le contexte"
"converse";"anglais ou français selon le contexte"
"corner";"anglais ou français selon le contexte"
"corporation";"anglais ou français selon le contexte"
"corps";"anglais ou français selon le contexte"
